as_of,record_type,region,sort_order,key,label,market,target,window,method,family,period,week_label,cutoff_day,value,value_label,prior_period,signal,interpretation,status,rank,months,mae,rmse,pearson,forecast,actual,error,note,
2026-07-05,series,eu,9,,,,,,,,Apr-26,Mar-26,,,,,,,,,,,,,,-11.97,-12.4,,
2026-07-05,series,eu,10,,,,,,,,May-26,Apr-26,,,,,,,,,,,,,,-13.6,-13.9,,
2026-07-05,series,eu,11,,,,,,,,Jun-26,May-26,,,,,,,,,,,,,,-17.00,-13.0 ,,
2026-07-05,series,eu,12,,,,,,,,Jul-26,Jun-26,,,,,,,,,,,,,-5.75,,-12.5,,
2026-07-05,series,jp,1,,,,,,,,Aug-25,Jul-25,,,,,,,,,,,,,,34.76,34,,
2026-07-05,series,jp,2,,,,,,,,Sep-25,Aug-25,,,,,,,,,,,,,,34.07,34.9,,
2026-07-05,series,jp,3,,,,,,,,Oct-25,Sep-25,,,,,,,,,,,,,,34.89,35.4,,
2026-07-05,series,jp,4,,,,,,,,Nov-25,Oct-25,,,,,,,,,,,,,,35.31,35.9,,
2026-07-05,series,jp,5,,,,,,,,Dec-25,Nov-25,,,,,,,,,,,,,,35.9,37.2,,
2026-07-05,series,jp,6,,,,,,,,Jan-26,Dec-25,,,,,,,,,,,,,,37.22,36.9,,
2026-07-05,series,jp,7,,,,,,,,Feb-26,Jan-26,,,,,,,,,,,,,,37,37.4,,
2026-07-05,series,jp,8,,,,,,,,Mar-26,Feb-26,,,,,,,,,,,,,,37.69,37.7,,
2026-07-05,series,jp,9,,,,,,,,Apr-26,Mar-26,,,,,,,,,,,,,,39.65,39.3,,
2026-07-05,series,jp,10,,,,,,,,May-26,Apr-26,,,,,,,,,,,,,,35.1,36.0 ,,
2026-07-05,series,jp,11,,,,,,,,Jun-26,May-26,,,,,,,,,,,,,,33.80,36.2,,
2026-07-05,series,jp,12,,,,,,,,Jul-26,Jun-26,,,,,,,,,,,,,51.95,,36.8,,
2026-07-05,agent_profile,us,1,ca-lena,Lena M.,California,Renter | tech support | urban West,Synthetic respondent profile,College graduate,$96k household income,CA,"San Jose, CA",34,55.8,55.8,Two-adult household,Cautiously optimistic,Stable employment and lower fuel pressure support a firmer near-term confidence response.,Employed full time,,6,,,,91.0,207.0,,Synthetic profile | Hispanic female | no children,
2026-07-05,agent_monthly_prediction,us,1,ca-lena,Lena M.,California,,,,,Jan-26,,,54.1,54.1,,Monthly simulated response,,,,,,,,54.1,,,,
2026-07-05,agent_monthly_prediction,us,2,ca-lena,Lena M.,California,,,,,Feb-26,,,54.8,54.8,,Monthly simulated response,,,,,,,,54.8,,,,
2026-07-05,agent_monthly_prediction,us,3,ca-lena,Lena M.,California,,,,,Mar-26,,,54.2,54.2,,Monthly simulated response,,,,,,,,54.2,,,,
2026-07-05,agent_monthly_prediction,us,4,ca-lena,Lena M.,California,,,,,Apr-26,,,52.7,52.7,,Monthly simulated response,,,,,,,,52.7,,,,
2026-07-05,agent_monthly_prediction,us,5,ca-lena,Lena M.,California,,,,,May-26,,,53.6,53.6,,Monthly simulated response,,,,,,,,53.6,,,,
2026-07-05,agent_monthly_prediction,us,6,ca-lena,Lena M.,California,,,,,Jun-26,,,55.8,55.8,,Cautiously optimistic,,,,,,,,55.8,,,,
2026-07-05,agent_profile,us,2,tx-marcus,Marcus R.,Texas,Homeowner | logistics manager | Sun Belt,Synthetic respondent profile,Some college,$88k household income,TX,"Houston, TX",42,54.6,54.6,Married household with children,Moderate rebound,"Job security offsets price sensitivity, creating a gradual rebound into June.",Employed full time,,6,,,,337.0,281.0,,Synthetic profile | Black male | two children,
2026-07-05,agent_monthly_prediction,us,1,tx-marcus,Marcus R.,Texas,,,,,Jan-26,,,53,53.0,,Monthly simulated response,,,,,,,,53,,,,
2026-07-05,agent_monthly_prediction,us,2,tx-marcus,Marcus R.,Texas,,,,,Feb-26,,,53.8,53.8,,Monthly simulated response,,,,,,,,53.8,,,,
2026-07-05,agent_monthly_prediction,us,3,tx-marcus,Marcus R.,Texas,,,,,Mar-26,,,53.4,53.4,,Monthly simulated response,,,,,,,,53.4,,,,
2026-07-05,agent_monthly_prediction,us,4,tx-marcus,Marcus R.,Texas,,,,,Apr-26,,,51.9,51.9,,Monthly simulated response,,,,,,,,51.9,,,,
2026-07-05,agent_monthly_prediction,us,5,tx-marcus,Marcus R.,Texas,,,,,May-26,,,52.8,52.8,,Monthly simulated response,,,,,,,,52.8,,,,
2026-07-05,agent_monthly_prediction,us,6,tx-marcus,Marcus R.,Texas,,,,,Jun-26,,,54.6,54.6,,Moderate rebound,,,,,,,,54.6,,,,
2026-07-05,agent_profile,us,3,fl-elaine,Elaine P.,Florida,Retired | fixed income | Southeast,Synthetic respondent profile,High school graduate,$52k household income,FL,"Tampa, FL",68,50.9,50.9,Retired couple,Still cost-sensitive,Fixed-income spending keeps the forecast below the national headline despite slight improvement.,Retired,,6,,,,532.0,304.0,,Synthetic profile | White female | retired,
2026-07-05,agent_monthly_prediction,us,1,fl-elaine,Elaine P.,Florida,,,,,Jan-26,,,51.6,51.6,,Monthly simulated response,,,,,,,,51.6,,,,
2026-07-05,agent_monthly_prediction,us,2,fl-elaine,Elaine P.,Florida,,,,,Feb-26,,,52.2,52.2,,Monthly simulated response,,,,,,,,52.2,,,,
2026-07-05,agent_monthly_prediction,us,3,fl-elaine,Elaine P.,Florida,,,,,Mar-26,,,51.4,51.4,,Monthly simulated response,,,,,,,,51.4,,,,
2026-07-05,agent_monthly_prediction,us,4,fl-elaine,Elaine P.,Florida,,,,,Apr-26,,,49.8,49.8,,Monthly simulated response,,,,,,,,49.8,,,,
2026-07-05,agent_monthly_prediction,us,5,fl-elaine,Elaine P.,Florida,,,,,May-26,,,49.9,49.9,,Monthly simulated response,,,,,,,,49.9,,,,
2026-07-05,agent_monthly_prediction,us,6,fl-elaine,Elaine P.,Florida,,,,,Jun-26,,,50.9,50.9,,Still cost-sensitive,,,,,,,,50.9,,,,
2026-07-05,agent_profile,us,4,ny-daniel,Daniel K.,New York,Renter | retail supervisor | Northeast,Synthetic respondent profile,Associate degree,$64k household income,NY,"Queens, NY",29,53.4,53.4,Shared rental household,Rent pressure caps gains,"Income expectations improve, but rent and grocery pressure keep confidence restrained.",Employed full time,,6,,,,610.0,146.0,,Synthetic profile | Asian male | no children,
2026-07-05,agent_monthly_prediction,us,1,ny-daniel,Daniel K.,New York,,,,,Jan-26,,,52.2,52.2,,Monthly simulated response,,,,,,,,52.2,,,,
2026-07-05,agent_monthly_prediction,us,2,ny-daniel,Daniel K.,New York,,,,,Feb-26,,,53,53.0,,Monthly simulated response,,,,,,,,53,,,,
2026-07-05,agent_monthly_prediction,us,3,ny-daniel,Daniel K.,New York,,,,,Mar-26,,,52.8,52.8,,Monthly simulated response,,,,,,,,52.8,,,,
2026-07-05,agent_monthly_prediction,us,4,ny-daniel,Daniel K.,New York,,,,,Apr-26,,,50.7,50.7,,Monthly simulated response,,,,,,,,50.7,,,,
2026-07-05,agent_monthly_prediction,us,5,ny-daniel,Daniel K.,New York,,,,,May-26,,,51.6,51.6,,Monthly simulated response,,,,,,,,51.6,,,,
2026-07-05,agent_monthly_prediction,us,6,ny-daniel,Daniel K.,New York,,,,,Jun-26,,,53.4,53.4,,Rent pressure caps gains,,,,,,,,53.4,,,,
2026-07-05,agent_profile,us,5,mi-ruth,Ruth H.,Michigan,Homeowner | auto manufacturing | Midwest,Synthetic respondent profile,Vocational certificate,$79k household income,MI,"Detroit, MI",51,52.7,52.7,Single-earner household,Labor outlook steadies,Manufacturing income stability improves expectations after a softer spring.,Employed full time,,6,,,,508.0,136.0,,Synthetic profile | White female | one dependent,
2026-07-05,agent_monthly_prediction,us,1,mi-ruth,Ruth H.,Michigan,,,,,Jan-26,,,51.9,51.9,,Monthly simulated response,,,,,,,,51.9,,,,
2026-07-05,agent_monthly_prediction,us,2,mi-ruth,Ruth H.,Michigan,,,,,Feb-26,,,52.5,52.5,,Monthly simulated response,,,,,,,,52.5,,,,
2026-07-05,agent_monthly_prediction,us,3,mi-ruth,Ruth H.,Michigan,,,,,Mar-26,,,52.1,52.1,,Monthly simulated response,,,,,,,,52.1,,,,
2026-07-05,agent_monthly_prediction,us,4,mi-ruth,Ruth H.,Michigan,,,,,Apr-26,,,50.2,50.2,,Monthly simulated response,,,,,,,,50.2,,,,
2026-07-05,agent_monthly_prediction,us,5,mi-ruth,Ruth H.,Michigan,,,,,May-26,,,51,51.0,,Monthly simulated response,,,,,,,,51,,,,
2026-07-05,agent_monthly_prediction,us,6,mi-ruth,Ruth H.,Michigan,,,,,Jun-26,,,52.7,52.7,,Labor outlook steadies,,,,,,,,52.7,,,,
2026-07-05,agent_profile,us,6,az-sofia,Sofia A.,Arizona,Renter | hospitality worker | Mountain West,Synthetic respondent profile,Some college,$58k household income,AZ,"Phoenix, AZ",37,51.8,51.8,Single parent household,Uneven improvement,Part-time hours and childcare costs keep the forecast cautious even as sentiment firms.,Employed part time,,6,,,,183.0,250.0,,Synthetic profile | Latina female | one child,
2026-07-05,agent_monthly_prediction,us,1,az-sofia,Sofia A.,Arizona,,,,,Jan-26,,,50.5,50.5,,Monthly simulated response,,,,,,,,50.5,,,,
2026-07-05,agent_monthly_prediction,us,2,az-sofia,Sofia A.,Arizona,,,,,Feb-26,,,51.3,51.3,,Monthly simulated response,,,,,,,,51.3,,,,
2026-07-05,agent_monthly_prediction,us,3,az-sofia,Sofia A.,Arizona,,,,,Mar-26,,,50.9,50.9,,Monthly simulated response,,,,,,,,50.9,,,,
2026-07-05,agent_monthly_prediction,us,4,az-sofia,Sofia A.,Arizona,,,,,Apr-26,,,49.6,49.6,,Monthly simulated response,,,,,,,,49.6,,,,
2026-07-05,agent_monthly_prediction,us,5,az-sofia,Sofia A.,Arizona,,,,,May-26,,,50.2,50.2,,Monthly simulated response,,,,,,,,50.2,,,,
2026-07-05,agent_monthly_prediction,us,6,az-sofia,Sofia A.,Arizona,,,,,Jun-26,,,51.8,51.8,,Uneven improvement,,,,,,,,51.8,,,,
2026-07-05,agent_profile,us,7,ga-terrence,Terrence B.,Georgia,Homeowner | public school teacher | Southeast,Synthetic respondent profile,Graduate degree,$83k household income,GA,"Atlanta, GA",45,54,54.0,Dual-income household,Broadly stable,Stable public-sector income creates a middle-of-pack confidence forecast.,Employed full time,,6,,,,524.0,267.0,,Synthetic profile | Black male | one child,
2026-07-05,agent_monthly_prediction,us,1,ga-terrence,Terrence B.,Georgia,,,,,Jan-26,,,52.9,52.9,,Monthly simulated response,,,,,,,,52.9,,,,
2026-07-05,agent_monthly_prediction,us,2,ga-terrence,Terrence B.,Georgia,,,,,Feb-26,,,53.5,53.5,,Monthly simulated response,,,,,,,,53.5,,,,
2026-07-05,agent_monthly_prediction,us,3,ga-terrence,Terrence B.,Georgia,,,,,Mar-26,,,53,53.0,,Monthly simulated response,,,,,,,,53,,,,
2026-07-05,agent_monthly_prediction,us,4,ga-terrence,Terrence B.,Georgia,,,,,Apr-26,,,51.7,51.7,,Monthly simulated response,,,,,,,,51.7,,,,
2026-07-05,agent_monthly_prediction,us,5,ga-terrence,Terrence B.,Georgia,,,,,May-26,,,52.6,52.6,,Monthly simulated response,,,,,,,,52.6,,,,
2026-07-05,agent_monthly_prediction,us,6,ga-terrence,Terrence B.,Georgia,,,,,Jun-26,,,54,54.0,,Broadly stable,,,,,,,,54,,,,
2026-07-05,agent_profile,us,8,wa-noah,Noah S.,Washington,Renter | self-employed designer | Pacific Northwest,Synthetic respondent profile,College graduate,$72k household income,WA,"Seattle, WA",31,53.1,53.1,Single-person household,Volatile but improving,"Self-employment volatility lowers certainty, but recent client demand lifts the June path.",Self-employed,,6,,,,76.0,91.0,,Synthetic profile | White male | no children,
2026-07-05,agent_monthly_prediction,us,1,wa-noah,Noah S.,Washington,,,,,Jan-26,,,51.8,51.8,,Monthly simulated response,,,,,,,,51.8,,,,
2026-07-05,agent_monthly_prediction,us,2,wa-noah,Noah S.,Washington,,,,,Feb-26,,,52.7,52.7,,Monthly simulated response,,,,,,,,52.7,,,,
2026-07-05,agent_monthly_prediction,us,3,wa-noah,Noah S.,Washington,,,,,Mar-26,,,52,52.0,,Monthly simulated response,,,,,,,,52,,,,
2026-07-05,agent_monthly_prediction,us,4,wa-noah,Noah S.,Washington,,,,,Apr-26,,,50.4,50.4,,Monthly simulated response,,,,,,,,50.4,,,,
2026-07-05,agent_monthly_prediction,us,5,wa-noah,Noah S.,Washington,,,,,May-26,,,51.5,51.5,,Monthly simulated response,,,,,,,,51.5,,,,
2026-07-05,agent_monthly_prediction,us,6,wa-noah,Noah S.,Washington,,,,,Jun-26,,,53.1,53.1,,Volatile but improving,,,,,,,,53.1,,,,
2026-07-05,agent_profile,us,9,il-maya,Maya S.,Illinois,Renter | nurse | Great Lakes,Synthetic respondent profile,Associate degree,$82k household income,IL,"Chicago, IL",39,54.2,54.2,Two-adult household,Healthcare income steadies,Stable healthcare hours support spending confidence while rent and food costs limit upside.,Employed full time,,6,,,,468.0,176.0,,Synthetic profile | Black female | one child,
2026-07-05,agent_monthly_prediction,us,1,il-maya,Maya S.,Illinois,,,,,Jan-26,,,52.8,52.8,,Monthly simulated response,,,,,,,,52.8,,,,
2026-07-05,agent_monthly_prediction,us,2,il-maya,Maya S.,Illinois,,,,,Feb-26,,,53.4,53.4,,Monthly simulated response,,,,,,,,53.4,,,,
2026-07-05,agent_monthly_prediction,us,3,il-maya,Maya S.,Illinois,,,,,Mar-26,,,52.9,52.9,,Monthly simulated response,,,,,,,,52.9,,,,
2026-07-05,agent_monthly_prediction,us,4,il-maya,Maya S.,Illinois,,,,,Apr-26,,,51.5,51.5,,Monthly simulated response,,,,,,,,51.5,,,,
2026-07-05,agent_monthly_prediction,us,5,il-maya,Maya S.,Illinois,,,,,May-26,,,52.7,52.7,,Monthly simulated response,,,,,,,,52.7,,,,
2026-07-05,agent_monthly_prediction,us,6,il-maya,Maya S.,Illinois,,,,,Jun-26,,,54.2,54.2,,Healthcare income steadies,,,,,,,,54.2,,,,
2026-07-05,agent_profile,us,10,pa-owen,Owen T.,Pennsylvania,Homeowner | warehouse supervisor | Mid-Atlantic,Synthetic respondent profile,Some college,$76k household income,PA,"Allentown, PA",47,52.6,52.6,Married household,Price pressure lingers,Steady hours help but utility and grocery costs keep household sentiment close to neutral.,Employed full time,,6,,,,586.0,176.0,,Synthetic profile | White male | two children,
2026-07-05,agent_monthly_prediction,us,1,pa-owen,Owen T.,Pennsylvania,,,,,Jan-26,,,51.7,51.7,,Monthly simulated response,,,,,,,,51.7,,,,
2026-07-05,agent_monthly_prediction,us,2,pa-owen,Owen T.,Pennsylvania,,,,,Feb-26,,,52.1,52.1,,Monthly simulated response,,,,,,,,52.1,,,,
2026-07-05,agent_monthly_prediction,us,3,pa-owen,Owen T.,Pennsylvania,,,,,Mar-26,,,51.8,51.8,,Monthly simulated response,,,,,,,,51.8,,,,
2026-07-05,agent_monthly_prediction,us,4,pa-owen,Owen T.,Pennsylvania,,,,,Apr-26,,,50.6,50.6,,Monthly simulated response,,,,,,,,50.6,,,,
2026-07-05,agent_monthly_prediction,us,5,pa-owen,Owen T.,Pennsylvania,,,,,May-26,,,51.2,51.2,,Monthly simulated response,,,,,,,,51.2,,,,
2026-07-05,agent_monthly_prediction,us,6,pa-owen,Owen T.,Pennsylvania,,,,,Jun-26,,,52.6,52.6,,Price pressure lingers,,,,,,,,52.6,,,,
2026-07-05,agent_profile,us,11,nc-aisha,Aisha W.,North Carolina,Homeowner | financial services analyst | Southeast,Synthetic respondent profile,College graduate,$94k household income,NC,"Charlotte, NC",36,55.1,55.1,Dual-income household,Income expectations firm,Professional-sector wage growth lifts expectations even as insurance and childcare costs remain salient.,Employed full time,,6,,,,555.0,235.0,,Synthetic profile | Black female | one child,
2026-07-05,agent_monthly_prediction,us,1,nc-aisha,Aisha W.,North Carolina,,,,,Jan-26,,,53.5,53.5,,Monthly simulated response,,,,,,,,53.5,,,,
2026-07-05,agent_monthly_prediction,us,2,nc-aisha,Aisha W.,North Carolina,,,,,Feb-26,,,54.1,54.1,,Monthly simulated response,,,,,,,,54.1,,,,
2026-07-05,agent_monthly_prediction,us,3,nc-aisha,Aisha W.,North Carolina,,,,,Mar-26,,,53.7,53.7,,Monthly simulated response,,,,,,,,53.7,,,,
2026-07-05,agent_monthly_prediction,us,4,nc-aisha,Aisha W.,North Carolina,,,,,Apr-26,,,52.4,52.4,,Monthly simulated response,,,,,,,,52.4,,,,
2026-07-05,agent_monthly_prediction,us,5,nc-aisha,Aisha W.,North Carolina,,,,,May-26,,,53.6,53.6,,Monthly simulated response,,,,,,,,53.6,,,,
2026-07-05,agent_monthly_prediction,us,6,nc-aisha,Aisha W.,North Carolina,,,,,Jun-26,,,55.1,55.1,,Income expectations firm,,,,,,,,55.1,,,,
2026-07-05,agent_profile,us,12,oh-caleb,Caleb D.,Ohio,Homeowner | skilled trades | Midwest,Synthetic respondent profile,Vocational certificate,$71k household income,OH,"Columbus, OH",44,53.0,53.0,Single-earner household,Durables still cautious,Construction backlogs support income confidence but appliance and vehicle purchases remain delayed.,Employed full time,,6,,,,525.0,182.0,,Synthetic profile | White male | one child,
2026-07-05,agent_monthly_prediction,us,1,oh-caleb,Caleb D.,Ohio,,,,,Jan-26,,,51.9,51.9,,Monthly simulated response,,,,,,,,51.9,,,,
2026-07-05,agent_monthly_prediction,us,2,oh-caleb,Caleb D.,Ohio,,,,,Feb-26,,,52.4,52.4,,Monthly simulated response,,,,,,,,52.4,,,,
2026-07-05,agent_monthly_prediction,us,3,oh-caleb,Caleb D.,Ohio,,,,,Mar-26,,,52.0,52.0,,Monthly simulated response,,,,,,,,52.0,,,,
2026-07-05,agent_monthly_prediction,us,4,oh-caleb,Caleb D.,Ohio,,,,,Apr-26,,,50.8,50.8,,Monthly simulated response,,,,,,,,50.8,,,,
2026-07-05,agent_monthly_prediction,us,5,oh-caleb,Caleb D.,Ohio,,,,,May-26,,,51.9,51.9,,Monthly simulated response,,,,,,,,51.9,,,,
2026-07-05,agent_monthly_prediction,us,6,oh-caleb,Caleb D.,Ohio,,,,,Jun-26,,,53.0,53.0,,Durables still cautious,,,,,,,,53.0,,,,
2026-07-05,agent_profile,us,13,co-elena,Elena V.,Colorado,Renter | software product manager | Mountain West,Synthetic respondent profile,Graduate degree,$118k household income,CO,"Denver, CO",33,56.0,56.0,Two-adult household,High-income resilience,Higher income and stable employment keep confidence elevated despite housing affordability pressure.,Employed full time,,6,,,,303.0,208.0,,Synthetic profile | Latina female | no children,
2026-07-05,agent_monthly_prediction,us,1,co-elena,Elena V.,Colorado,,,,,Jan-26,,,54.4,54.4,,Monthly simulated response,,,,,,,,54.4,,,,
2026-07-05,agent_monthly_prediction,us,2,co-elena,Elena V.,Colorado,,,,,Feb-26,,,55.2,55.2,,Monthly simulated response,,,,,,,,55.2,,,,
2026-07-05,agent_monthly_prediction,us,3,co-elena,Elena V.,Colorado,,,,,Mar-26,,,54.6,54.6,,Monthly simulated response,,,,,,,,54.6,,,,
2026-07-05,agent_monthly_prediction,us,4,co-elena,Elena V.,Colorado,,,,,Apr-26,,,53.5,53.5,,Monthly simulated response,,,,,,,,53.5,,,,
2026-07-05,agent_monthly_prediction,us,5,co-elena,Elena V.,Colorado,,,,,May-26,,,54.8,54.8,,Monthly simulated response,,,,,,,,54.8,,,,
2026-07-05,agent_monthly_prediction,us,6,co-elena,Elena V.,Colorado,,,,,Jun-26,,,56.0,56.0,,High-income resilience,,,,,,,,56.0,,,,
2026-07-05,agent_profile,us,14,ma-hannah,Hannah L.,Massachusetts,Renter | biotech researcher | New England,Synthetic respondent profile,Doctorate,$104k household income,MA,"Cambridge, MA",35,54.8,54.8,Single-person household,Stable but housing constrained,Strong job prospects support expectations while rent pressure keeps the current-conditions score measured.,Employed full time,,6,,,,633.0,128.0,,Synthetic profile | Asian female | no children,
2026-07-05,agent_monthly_prediction,us,1,ma-hannah,Hannah L.,Massachusetts,,,,,Jan-26,,,53.6,53.6,,Monthly simulated response,,,,,,,,53.6,,,,
2026-07-05,agent_monthly_prediction,us,2,ma-hannah,Hannah L.,Massachusetts,,,,,Feb-26,,,54.0,54.0,,Monthly simulated response,,,,,,,,54.0,,,,
2026-07-05,agent_monthly_prediction,us,3,ma-hannah,Hannah L.,Massachusetts,,,,,Mar-26,,,53.5,53.5,,Monthly simulated response,,,,,,,,53.5,,,,
2026-07-05,agent_monthly_prediction,us,4,ma-hannah,Hannah L.,Massachusetts,,,,,Apr-26,,,52.2,52.2,,Monthly simulated response,,,,,,,,52.2,,,,
2026-07-05,agent_monthly_prediction,us,5,ma-hannah,Hannah L.,Massachusetts,,,,,May-26,,,53.4,53.4,,Monthly simulated response,,,,,,,,53.4,,,,
2026-07-05,agent_monthly_prediction,us,6,ma-hannah,Hannah L.,Massachusetts,,,,,Jun-26,,,54.8,54.8,,Stable but housing constrained,,,,,,,,54.8,,,,
2026-07-05,agent_profile,us,15,nv-rosa,Rosa G.,Nevada,Renter | casino operations | Mountain West,Synthetic respondent profile,High school graduate,$61k household income,NV,"Las Vegas, NV",41,51.5,51.5,Extended family household,Services recovery uneven,Tourism demand helps hours worked but variable schedules and rent increases keep confidence cautious.,Employed full time,,6,,,,143.0,206.0,,Synthetic profile | Latina female | two children,
2026-07-05,agent_monthly_prediction,us,1,nv-rosa,Rosa G.,Nevada,,,,,Jan-26,,,50.4,50.4,,Monthly simulated response,,,,,,,,50.4,,,,
2026-07-05,agent_monthly_prediction,us,2,nv-rosa,Rosa G.,Nevada,,,,,Feb-26,,,51.1,51.1,,Monthly simulated response,,,,,,,,51.1,,,,
2026-07-05,agent_monthly_prediction,us,3,nv-rosa,Rosa G.,Nevada,,,,,Mar-26,,,50.7,50.7,,Monthly simulated response,,,,,,,,50.7,,,,
2026-07-05,agent_monthly_prediction,us,4,nv-rosa,Rosa G.,Nevada,,,,,Apr-26,,,49.5,49.5,,Monthly simulated response,,,,,,,,49.5,,,,
2026-07-05,agent_monthly_prediction,us,5,nv-rosa,Rosa G.,Nevada,,,,,May-26,,,50.2,50.2,,Monthly simulated response,,,,,,,,50.2,,,,
2026-07-05,agent_monthly_prediction,us,6,nv-rosa,Rosa G.,Nevada,,,,,Jun-26,,,51.5,51.5,,Services recovery uneven,,,,,,,,51.5,,,,
2026-07-05,agent_profile,us,16,or-isaac,Isaac P.,Oregon,Renter | renewable energy technician | Pacific Northwest,Synthetic respondent profile,Some college,$69k household income,OR,"Portland, OR",28,52.4,52.4,Shared rental household,Cautious optimism,Project demand improves expectations but student debt and rents hold back current spending confidence.,Employed full time,,6,,,,92.0,129.0,,Synthetic profile | White male | no children,
2026-07-05,agent_monthly_prediction,us,1,or-isaac,Isaac P.,Oregon,,,,,Jan-26,,,51.0,51.0,,Monthly simulated response,,,,,,,,51.0,,,,
2026-07-05,agent_monthly_prediction,us,2,or-isaac,Isaac P.,Oregon,,,,,Feb-26,,,51.6,51.6,,Monthly simulated response,,,,,,,,51.6,,,,
2026-07-05,agent_monthly_prediction,us,3,or-isaac,Isaac P.,Oregon,,,,,Mar-26,,,51.1,51.1,,Monthly simulated response,,,,,,,,51.1,,,,
2026-07-05,agent_monthly_prediction,us,4,or-isaac,Isaac P.,Oregon,,,,,Apr-26,,,49.9,49.9,,Monthly simulated response,,,,,,,,49.9,,,,
2026-07-05,agent_monthly_prediction,us,5,or-isaac,Isaac P.,Oregon,,,,,May-26,,,51.0,51.0,,Monthly simulated response,,,,,,,,51.0,,,,
2026-07-05,agent_monthly_prediction,us,6,or-isaac,Isaac P.,Oregon,,,,,Jun-26,,,52.4,52.4,,Cautious optimism,,,,,,,,52.4,,,,
2026-07-05,agent_profile,us,17,tn-jerome,Jerome C.,Tennessee,Homeowner | small business owner | Upper South,Synthetic respondent profile,College graduate,$86k household income,TN,"Nashville, TN",49,53.7,53.7,Married household,Small business steadies,Local demand and lower fuel pressure improve expectations while financing costs still weigh on expansion plans.,Self-employed,,6,,,,485.0,237.0,,Synthetic profile | Black male | no children,
2026-07-05,agent_monthly_prediction,us,1,tn-jerome,Jerome C.,Tennessee,,,,,Jan-26,,,52.5,52.5,,Monthly simulated response,,,,,,,,52.5,,,,
2026-07-05,agent_monthly_prediction,us,2,tn-jerome,Jerome C.,Tennessee,,,,,Feb-26,,,53.1,53.1,,Monthly simulated response,,,,,,,,53.1,,,,
2026-07-05,agent_monthly_prediction,us,3,tn-jerome,Jerome C.,Tennessee,,,,,Mar-26,,,52.6,52.6,,Monthly simulated response,,,,,,,,52.6,,,,
2026-07-05,agent_monthly_prediction,us,4,tn-jerome,Jerome C.,Tennessee,,,,,Apr-26,,,51.2,51.2,,Monthly simulated response,,,,,,,,51.2,,,,
2026-07-05,agent_monthly_prediction,us,5,tn-jerome,Jerome C.,Tennessee,,,,,May-26,,,52.4,52.4,,Monthly simulated response,,,,,,,,52.4,,,,
2026-07-05,agent_monthly_prediction,us,6,tn-jerome,Jerome C.,Tennessee,,,,,Jun-26,,,53.7,53.7,,Small business steadies,,,,,,,,53.7,,,,
2026-07-05,agent_profile,us,18,mn-claire,Claire N.,Minnesota,Homeowner | healthcare administrator | Upper Midwest,Synthetic respondent profile,Graduate degree,$97k household income,MN,"Minneapolis, MN",52,54.4,54.4,Two-adult household,Balance sheet stable,Savings buffers and stable healthcare employment support confidence despite winter utility and insurance costs.,Employed full time,,6,,,,433.0,118.0,,Synthetic profile | White female | one dependent,
2026-07-05,agent_monthly_prediction,us,1,mn-claire,Claire N.,Minnesota,,,,,Jan-26,,,53.2,53.2,,Monthly simulated response,,,,,,,,53.2,,,,
2026-07-05,agent_monthly_prediction,us,2,mn-claire,Claire N.,Minnesota,,,,,Feb-26,,,53.9,53.9,,Monthly simulated response,,,,,,,,53.9,,,,
2026-07-05,agent_monthly_prediction,us,3,mn-claire,Claire N.,Minnesota,,,,,Mar-26,,,53.3,53.3,,Monthly simulated response,,,,,,,,53.3,,,,
2026-07-05,agent_monthly_prediction,us,4,mn-claire,Claire N.,Minnesota,,,,,Apr-26,,,52.0,52.0,,Monthly simulated response,,,,,,,,52.0,,,,
2026-07-05,agent_monthly_prediction,us,5,mn-claire,Claire N.,Minnesota,,,,,May-26,,,53.1,53.1,,Monthly simulated response,,,,,,,,53.1,,,,
2026-07-05,agent_monthly_prediction,us,6,mn-claire,Claire N.,Minnesota,,,,,Jun-26,,,54.4,54.4,,Balance sheet stable,,,,,,,,54.4,,,,
